system:index,ID,mean,median,source,stdDev,.geo
1_1_19840516_19,UCDSNM015782,0.535364371407163,0.5421321988105774,LANDSAT/LT5_L1T_8DAY_NDVI/19840516,0.05831768626665319,
1_1_19840516_6,UCDSNM004476,0.026860597731784865,0.005064422730356455,LANDSAT/LT5_L1T_8DAY_NDVI/19840516,0.057056690555197916,
1_1_19840516_10,UCDSNM011455,-0.02503913365425043,-0.025883236123869814,LANDSAT/LT5_L1T_8DAY_NDVI/19840516,0.017693243764421263,
1_1_19840516_9,UCDSNM011447,-0.030528942169136524,-0.03711874969303608,LANDSAT/LT5_L1T_8DAY_NDVI/19840516,0.01824269637360636,
1_1_19840516_11,UCDSNM011536,0.03742697947503378,-0.009997091256082058,LANDSAT/LT5_L1T_8DAY_NDVI/19840516,0.08787949661436287,
1_1_19840516_7,UCDSNM005339,0.26182459780339445,0.2557860016822815,LANDSAT/LT5_L1T_8DAY_NDVI/19840516,0.047778213902662195,
1_1_19840516_21,UCDSNM016565,0.2508767254864021,0.2881089150905609,LANDSAT/LT5_L1T_8DAY_NDVI/19840516,0.15046583798318094,
1_1_19840516_20,UCDSNM016357,0.29393780648708345,0.2918584644794464,LANDSAT/LT5_L1T_8DAY_NDVI/19840516,0.03157722722660822,
1_1_19840516_23,UCDSNM016769,0.28797783330082893,0.2786736339330673,LANDSAT/LT5_L1T_8DAY_NDVI/19840516,0.030204475226399102,
1_1_19840516_5,UCDSNM003796,0.5089968659661033,0.5228290557861328,LANDSAT/LT5_L1T_8DAY_NDVI/19840516,0.0688596553409642,
1_1_19840524_3,UCDSNM000426,0.4029036114230956,0.39458966132769613,LANDSAT/LT5_L1T_8DAY_NDVI/19840524,0.1418712068137664,
1_1_19840524_4,UCDSNM001115,0.35786715387777873,0.36098432190277996,LANDSAT/LT5_L1T_8DAY_NDVI/19840524,0.11114235341839056,
1_1_19840524_12,UCDSNM011600,0.494247966529523,0.5013476014137268,LANDSAT/LT5_L1T_8DAY_NDVI/19840524,0.08398694071936376,
1_1_19840524_18,UCDSNM014503,0.1931719110582426,0.22482252245148024,LANDSAT/LT5_L1T_8DAY_NDVI/19840524,0.10716166889409201,
1_1_19840524_10,UCDSNM011455,0.015818390875210753,0.02015894092619419,LANDSAT/LT5_L1T_8DAY_NDVI/19840524,0.020406961291021018,
1_1_19840524_9,UCDSNM011447,0.0027402976621589106,0.0032517059007659554,LANDSAT/LT5_L1T_8DAY_NDVI/19840524,0.018959867992172946,
1_1_19840524_11,UCDSNM011536,0.05713503088225566,0.014303850010037422,LANDSAT/LT5_L1T_8DAY_NDVI/19840524,0.09161754296141242,
1_1_19840524_16,UCDSNM013064,0.12417989855166525,0.10026778280735016,LANDSAT/LT5_L1T_8DAY_NDVI/19840524,0.07673045545256821,
