system:index,image_date,mean,median,source,std,variance,.geo
1_1_19840313,447984000000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840313,{NDWI=null},{NDWI=null},
1_1_19840321,448675200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840321,{NDWI=null},{NDWI=null},
1_1_19840406,450057600000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840406,{NDWI=null},{NDWI=null},
1_1_19840414,450748800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840414,{NDWI=null},{NDWI=null},
1_1_19840422,451440000000,{NDWI=0.8196070012864302},{NDWI=0.8808692440073541},LANDSAT/LT5_L1T_8DAY_NDWI/19840422,{NDWI=0.1331749278830132},{NDWI=0.017735561416645763},
1_1_19840430,452131200000,{NDWI=0.21932583773935144},{NDWI=0.21921555697917938},LANDSAT/LT5_L1T_8DAY_NDWI/19840430,{NDWI=9.696310417139736E-4},{NDWI=9.401843570553256E-7},
1_1_19840508,452822400000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840508,{NDWI=null},{NDWI=null},
1_1_19840516,453513600000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840516,{NDWI=null},{NDWI=null},
1_1_19840524,454204800000,{NDWI=0.06277946333133204},{NDWI=-0.011773160804295912},LANDSAT/LT5_L1T_8DAY_NDWI/19840524,{NDWI=0.24313501931580941},{NDWI=0.05911463761769902},
1_1_19840601,454896000000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840601,{NDWI=null},{NDWI=null},
1_1_19840609,455587200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840609,{NDWI=null},{NDWI=null},
1_1_19840617,456278400000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840617,{NDWI=null},{NDWI=null},
1_1_19840625,456969600000,{NDWI=0.11597046485331897},{NDWI=0.09791020816192031},LANDSAT/LT5_L1T_8DAY_NDWI/19840625,{NDWI=0.16926986969067725},{NDWI=0.028652288785098855},
1_1_19840703,457660800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840703,{NDWI=null},{NDWI=null},
1_1_19840711,458352000000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840711,{NDWI=null},{NDWI=null},
1_1_19840719,459043200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840719,{NDWI=null},{NDWI=null},
1_1_19840727,459734400000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840727,{NDWI=null},{NDWI=null},
1_1_19840804,460425600000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840804,{NDWI=null},{NDWI=null},
1_1_19840812,461116800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840812,{NDWI=null},{NDWI=null},
1_1_19840820,461808000000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840820,{NDWI=null},{NDWI=null},
1_1_19840828,462499200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840828,{NDWI=null},{NDWI=null},
1_1_19840905,463190400000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840905,{NDWI=null},{NDWI=null},
1_1_19840913,463881600000,{NDWI=-0.022418208073285723},{NDWI=-0.025430514180863447},LANDSAT/LT5_L1T_8DAY_NDWI/19840913,{NDWI=0.07746285053576961},{NDWI=0.006000493213126983},
1_1_19840921,464572800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840921,{NDWI=null},{NDWI=null},
1_1_19840929,465264000000,{NDWI=-0.019442495640920356},{NDWI=-0.02538637343352124},LANDSAT/LT5_L1T_8DAY_NDWI/19840929,{NDWI=0.07627058527045437},{NDWI=0.005817202177497652},
1_1_19841007,465955200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19841007,{NDWI=null},{NDWI=null},
1_1_19841015,466646400000,{NDWI=0.7712291861991827},{NDWI=0.7730216367603981},LANDSAT/LT5_L1T_8DAY_NDWI/19841015,{NDWI=0.020339579523163225},{NDWI=4.136984951790807E-4},
1_1_19841023,467337600000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19841023,{NDWI=null},{NDWI=null},
1_1_19841031,468028800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19841031,{NDWI=null},{NDWI=null},
1_1_19841108,468720000000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19841108,{NDWI=null},{NDWI=null},
1_1_19841116,469411200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19841116,{NDWI=null},{NDWI=null},
1_1_19841124,470102400000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19841124,{NDWI=null},{NDWI=null},
1_1_19841202,470793600000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19841202,{NDWI=null},{NDWI=null},
1_1_19841210,471484800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19841210,{NDWI=null},{NDWI=null},
1_1_19841218,472176000000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19841218,{NDWI=null},{NDWI=null},
1_1_19841226,472867200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19841226,{NDWI=null},{NDWI=null},
1_1_19850101,473385600000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850101,{NDWI=null},{NDWI=null},
1_1_19850109,474076800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850109,{NDWI=null},{NDWI=null},
1_1_19850117,474768000000,{NDWI=0.9049804669653599},{NDWI=0.9113480813211674},LANDSAT/LT5_L1T_8DAY_NDWI/19850117,{NDWI=0.026855378001183088},{NDWI=7.212113275864285E-4},
1_1_19850125,475459200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850125,{NDWI=null},{NDWI=null},
1_1_19850202,476150400000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850202,{NDWI=null},{NDWI=null},
1_1_19850210,476841600000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850210,{NDWI=null},{NDWI=null},
1_1_19850218,477532800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850218,{NDWI=null},{NDWI=null},
1_1_19850226,478224000000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850226,{NDWI=null},{NDWI=null},
1_1_19850306,478915200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850306,{NDWI=null},{NDWI=null},
1_1_19850314,479606400000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850314,{NDWI=null},{NDWI=null},
1_1_19850322,480297600000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850322,{NDWI=null},{NDWI=null},
1_1_19850330,480988800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850330,{NDWI=null},{NDWI=null},
1_1_19850407,481680000000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850407,{NDWI=null},{NDWI=null},
1_1_19850415,482371200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850415,{NDWI=null},{NDWI=null},
1_1_19850423,483062400000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850423,{NDWI=null},{NDWI=null},
1_1_19850501,483753600000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850501,{NDWI=null},{NDWI=null},
1_1_19850509,484444800000,{NDWI=0.06814986448560362},{NDWI=-0.05097817369934284},LANDSAT/LT5_L1T_8DAY_NDWI/19850509,{NDWI=0.30699854608546373},{NDWI=0.09424810729858861},
1_1_19850517,485136000000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850517,{NDWI=null},{NDWI=null},
1_1_19850525,485827200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850525,{NDWI=null},{NDWI=null},
1_1_19850602,486518400000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850602,{NDWI=null},{NDWI=null},
1_1_19850610,487209600000,{NDWI=0.06669690801231853},{NDWI=0.05703855102712458},LANDSAT/LT5_L1T_8DAY_NDWI/19850610,{NDWI=0.1437190798572833},{NDWI=0.020655173915024173},
1_1_19850618,487900800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850618,{NDWI=null},{NDWI=null},
1_1_19850626,488592000000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850626,{NDWI=null},{NDWI=null},
1_1_19850704,489283200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850704,{NDWI=null},{NDWI=null},
1_1_19850712,489974400000,{NDWI=0.13165827277504338},{NDWI=0.12294463914903728},LANDSAT/LT5_L1T_8DAY_NDWI/19850712,{NDWI=0.13021717893128712},{NDWI=0.016956513688822845},
1_1_19850720,490665600000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850720,{NDWI=null},{NDWI=null},
1_1_19850728,491356800000,{NDWI=0.09292610327993281},{NDWI=0.08748593717813492},LANDSAT/LT5_L1T_8DAY_NDWI/19850728,{NDWI=0.11719729596788428},{NDWI=0.013735206182183865},
1_1_19850805,492048000000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850805,{NDWI=null},{NDWI=null},
1_1_19850813,492739200000,{NDWI=0.06846911726627494},{NDWI=0.06434016937718672},LANDSAT/LT5_L1T_8DAY_NDWI/19850813,{NDWI=0.10276726917674521},{NDWI=0.010561111614045606},
1_1_19850821,493430400000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850821,{NDWI=null},{NDWI=null},
1_1_19850829,494121600000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850829,{NDWI=null},{NDWI=null},
