system:index,image_date,mean,median,source,std,variance,.geo
1_1_19930202,728611200000,{NDWI=0.9244205513544741},{NDWI=0.9308402662475904},LANDSAT/LT5_L1T_32DAY_NDWI/19930202,{NDWI=0.03458619232161},{NDWI=0.0011962046993073945},
1_1_19930306,731376000000,{NDWI=0.8698621999495126},{NDWI=0.8566383856993455},LANDSAT/LT5_L1T_32DAY_NDWI/19930306,{NDWI=0.04785773388946447},{NDWI=0.0022903626930347956},
1_1_19930407,734140800000,{NDWI=0.4227245098383228},{NDWI=0.42079612612724304},LANDSAT/LT5_L1T_32DAY_NDWI/19930407,{NDWI=0.058737281278638136},{NDWI=0.003450068212005854},
1_1_19930509,736905600000,{NDWI=0.38031976118144883},{NDWI=0.37262463569641113},LANDSAT/LT5_L1T_32DAY_NDWI/19930509,{NDWI=0.0606692009826069},{NDWI=0.0036807519478679494},
1_1_19930610,739670400000,{NDWI=0.3478341492757108},{NDWI=0.36539017126477996},LANDSAT/LT5_L1T_32DAY_NDWI/19930610,{NDWI=0.11856167915982338},{NDWI=0.0140568717651969},
1_1_19930712,742435200000,{NDWI=0.13367658981121586},{NDWI=0.14641604353399837},LANDSAT/LT5_L1T_32DAY_NDWI/19930712,{NDWI=0.14409725173227841},{NDWI=0.02076401795679561},
1_1_19930813,745200000000,{NDWI=0.038596757926586574},{NDWI=0.025653414130210876},LANDSAT/LT5_L1T_32DAY_NDWI/19930813,{NDWI=0.12506242527354552},{NDWI=0.01564061021530116},
1_1_19930914,747964800000,{NDWI=-0.05444363829342516},{NDWI=-0.08803120691601823},LANDSAT/LT5_L1T_32DAY_NDWI/19930914,{NDWI=0.11546474494726569},{NDWI=0.013332107325737117},
1_1_19931016,750729600000,{NDWI=-0.04374898124497472},{NDWI=-0.07643568121335086},LANDSAT/LT5_L1T_32DAY_NDWI/19931016,{NDWI=0.1411769093540941},{NDWI=0.0199309197347741},
1_1_19931117,753494400000,{NDWI=0.6154203605853431},{NDWI=0.6158166494634416},LANDSAT/LT5_L1T_32DAY_NDWI/19931117,{NDWI=0.09624867074742731},{NDWI=0.009263806620646669},
1_1_19931219,756259200000,{NDWI=0.8943107690593904},{NDWI=0.9054248784668744},LANDSAT/LT5_L1T_32DAY_NDWI/19931219,{NDWI=0.0459130386892733},{NDWI=0.0021080071216827067},
