system:index,ID,mean,median,source,stdDev,.geo
1_1_19861109_5,UCDSNM014503,0.24709085099096456,0.2474970438263633,LANDSAT/LT5_L1T_8DAY_NDVI/19861109,0.05503321386190566,
1_1_19861125_5,UCDSNM014503,0.25000610359632763,0.24733190557786397,LANDSAT/LT5_L1T_8DAY_NDVI/19861125,0.046295350142746335,
1_1_19861211_5,UCDSNM014503,0.05336314257179392,0.046217874340389084,LANDSAT/LT5_L1T_8DAY_NDVI/19861211,0.03711825185087841,
1_1_19861227_5,UCDSNM014503,0.03010448110172781,0.020516171847702935,LANDSAT/LT5_L1T_8DAY_NDVI/19861227,0.036942112708196743,
1_1_19870109_5,UCDSNM014503,0.02723310301818919,0.020604493868787113,LANDSAT/LT5_L1T_8DAY_NDVI/19870109,0.029541467305360787,
1_1_19870202_5,UCDSNM014503,0.017664197230741727,0.010829269420355558,LANDSAT/LT5_L1T_8DAY_NDVI/19870202,0.026868012124783302,
1_1_19870226_5,UCDSNM014503,-0.016305145372196007,-0.02196812629699707,LANDSAT/LT5_L1T_8DAY_NDVI/19870226,0.02173916869588559,
1_1_19870330_5,UCDSNM014503,-0.040350355443002466,-0.04386827484017513,LANDSAT/LT5_L1T_8DAY_NDVI/19870330,0.0195345246509058,
1_1_19870415_5,UCDSNM014503,0.06524760026045187,0.05869949907064438,LANDSAT/LT5_L1T_8DAY_NDVI/19870415,0.026194771044683523,
1_1_19870501_5,UCDSNM014503,0.1481383750659893,0.1815737404606559,LANDSAT/LT5_L1T_8DAY_NDVI/19870501,0.08741943881993969,
1_1_19870602_5,UCDSNM014503,0.3890176737533317,0.37312642886088443,LANDSAT/LT5_L1T_8DAY_NDVI/19870602,0.09091636868039855,
1_1_19870618_5,UCDSNM014503,0.5262639186195525,0.5180061714989799,LANDSAT/LT5_L1T_8DAY_NDVI/19870618,0.11642380847594301,
1_1_19870704_5,UCDSNM014503,0.5052652910668799,0.49848611818419564,LANDSAT/LT5_L1T_8DAY_NDVI/19870704,0.08618732395200636,
