system:index,image_date,mean,median,source,std,variance,.geo
1_1_19940509,768441600000,{NDWI=0.0700874312643729},{NDWI=0.056495700217783454},LANDSAT/LT5_L1T_32DAY_NDWI/19940509,{NDWI=0.14598453031629358},{NDWI=0.021311483091668835},
1_1_19940610,771206400000,{NDWI=0.13718412686031417},{NDWI=0.11931372646774564},LANDSAT/LT5_L1T_32DAY_NDWI/19940610,{NDWI=0.12524865891756073},{NDWI=0.015687226560647468},
1_1_19940712,773971200000,{NDWI=0.0749583011666229},{NDWI=0.04895772715961492},LANDSAT/LT5_L1T_32DAY_NDWI/19940712,{NDWI=0.13415635407010001},{NDWI=0.01799792733738204},
1_1_19940813,776736000000,{NDWI=0.09087632749925058},{NDWI=0.09208087199790911},LANDSAT/LT5_L1T_32DAY_NDWI/19940813,{NDWI=0.08395985280890132},{NDWI=0.007049256883692375},
1_1_19940914,779500800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_32DAY_NDWI/19940914,{NDWI=null},{NDWI=null},
1_1_19941016,782265600000,{NDWI=0.4800833538466237},{NDWI=0.4840652516910008},LANDSAT/LT5_L1T_32DAY_NDWI/19941016,{NDWI=0.021237017091549206},{NDWI=4.5101089494675305E-4},
1_1_19941117,785030400000,{NDWI=0.8359244508985904},{NDWI=0.8350887235842253},LANDSAT/LT5_L1T_32DAY_NDWI/19941117,{NDWI=0.03445230406995157},{NDWI=0.0011869612557284012},
1_1_19941219,787795200000,{NDWI=0.49665218059505734},{NDWI=0.5023075665036837},LANDSAT/LT5_L1T_32DAY_NDWI/19941219,{NDWI=0.05016450370587945},{NDWI=0.002516477432057193},
1_1_19950101,788918400000,{NDWI=0.49665218059505734},{NDWI=0.5023075665036837},LANDSAT/LT5_L1T_32DAY_NDWI/19950101,{NDWI=0.05016450370587945},{NDWI=0.002516477432057193},
1_1_19950202,791683200000,{NDWI=0.9275359276631107},{NDWI=0.9303070306777954},LANDSAT/LT5_L1T_32DAY_NDWI/19950202,{NDWI=0.022423842031258596},{NDWI=5.028286914428396E-4},
1_1_19950306,794448000000,{NDWI=0.5210662580691205},{NDWI=0.5227749009024013},LANDSAT/LT5_L1T_32DAY_NDWI/19950306,{NDWI=0.02527020929906629},{NDWI=6.385834780186165E-4},
1_1_19950407,797212800000,{NDWI=0.9526041185377628},{NDWI=0.9558468908071518},LANDSAT/LT5_L1T_32DAY_NDWI/19950407,{NDWI=0.020682562202884273},{NDWI=4.2776837927617717E-4},
1_1_19950509,799977600000,{NDWI=0.7162389135691692},{NDWI=0.8263089179992675},LANDSAT/LT5_L1T_32DAY_NDWI/19950509,{NDWI=0.25703643615143157},{NDWI=0.06606772950942896},
1_1_19950610,802742400000,{NDWI=0.6530293496886046},{NDWI=0.7304089430606726},LANDSAT/LT5_L1T_32DAY_NDWI/19950610,{NDWI=0.24048012754614204},{NDWI=0.057830691744608746},
1_1_19950712,805507200000,{NDWI=0.1776938057490242},{NDWI=0.1835401091724634},LANDSAT/LT5_L1T_32DAY_NDWI/19950712,{NDWI=0.1492936413004215},{NDWI=0.022288591332738923},
1_1_19950813,808272000000,{NDWI=0.17106431627337337},{NDWI=0.15833671626291776},LANDSAT/LT5_L1T_32DAY_NDWI/19950813,{NDWI=0.1340429405450017},{NDWI=0.017967509909950864},
1_1_19950914,811036800000,{NDWI=0.04455805821603258},{NDWI=0.0332555309511148},LANDSAT/LT5_L1T_32DAY_NDWI/19950914,{NDWI=0.10455002593763725},{NDWI=0.010930707923560622},
1_1_19951016,813801600000,{NDWI=0.06229919966224489},{NDWI=0.05771578501348626},LANDSAT/LT5_L1T_32DAY_NDWI/19951016,{NDWI=0.03820215465711998},{NDWI=0.001459404620446514},
1_1_19951117,816566400000,{NDWI=0.4420779450648918},{NDWI=0.4261018804141453},LANDSAT/LT5_L1T_32DAY_NDWI/19951117,{NDWI=0.05427433191950255},{NDWI=0.0029457031053083337},
1_1_19951219,819331200000,{NDWI=0.8795264217193346},{NDWI=0.8913031669406147},LANDSAT/LT5_L1T_32DAY_NDWI/19951219,{NDWI=0.0527963571272789},{NDWI=0.002787455325911173},
1_1_19960101,820454400000,{NDWI=0.8795264217193346},{NDWI=0.8913031669406147},LANDSAT/LT5_L1T_32DAY_NDWI/19960101,{NDWI=0.0527963571272789},{NDWI=0.002787455325911173},
