system:index,ID,mean,median,source,stdDev,.geo
1_1_19861109_5,UCDSNM014503,-0.05466338429221482,-0.07977044861763716,LANDSAT/LT5_L1T_8DAY_NDWI/19861109,0.10130322256733404,
1_1_19861125_5,UCDSNM014503,-0.01242403181214766,-0.025317224115133284,LANDSAT/LT5_L1T_8DAY_NDWI/19861125,0.08218089309386443,
1_1_19861211_5,UCDSNM014503,0.7651097543350271,0.7783138006925583,LANDSAT/LT5_L1T_8DAY_NDWI/19861211,0.05135294620910491,
1_1_19861227_5,UCDSNM014503,0.7809690007619285,0.7808603756129742,LANDSAT/LT5_L1T_8DAY_NDWI/19861227,0.02341409334202633,
1_1_19870109_5,UCDSNM014503,0.8022074454988225,0.8011947423219681,LANDSAT/LT5_L1T_8DAY_NDWI/19870109,0.028811908297710253,
1_1_19870202_5,UCDSNM014503,0.7769180170802591,0.7769791483879089,LANDSAT/LT5_L1T_8DAY_NDWI/19870202,0.02612452084110366,
1_1_19870226_5,UCDSNM014503,0.874492813470977,0.8766049795291003,LANDSAT/LT5_L1T_8DAY_NDWI/19870226,0.01625953212245863,
1_1_19870330_5,UCDSNM014503,0.9430899692688505,0.9458220434539458,LANDSAT/LT5_L1T_8DAY_NDWI/19870330,0.017125798467040657,
1_1_19870415_5,UCDSNM014503,0.3455999035323381,0.2560743490854899,LANDSAT/LT5_L1T_8DAY_NDWI/19870415,0.16822150291642354,
1_1_19870501_5,UCDSNM014503,0.10211394685690968,-0.005100574693642557,LANDSAT/LT5_L1T_8DAY_NDWI/19870501,0.33221683506790867,
1_1_19870602_5,UCDSNM014503,0.06928939236236473,0.056156365821758904,LANDSAT/LT5_L1T_8DAY_NDWI/19870602,0.10879184636411536,
1_1_19870618_5,UCDSNM014503,0.13331444190922725,0.10387788180794034,LANDSAT/LT5_L1T_8DAY_NDWI/19870618,0.15169258561639667,
1_1_19870704_5,UCDSNM014503,0.14821504830694407,0.1301640889474324,LANDSAT/LT5_L1T_8DAY_NDWI/19870704,0.10811558010796113,
1_1_19870712_5,UCDSNM014503,0.1145335873849489,0.09909837444623311,LANDSAT/LT5_L1T_8DAY_NDWI/19870712,0.12009141260751575,
1_1_19870720_5,UCDSNM014503,0.06143929562943622,0.04426703229546547,LANDSAT/LT5_L1T_8DAY_NDWI/19870720,0.09613768902754595,
1_1_19870728_5,UCDSNM014503,0.03554166530575211,0.02140092698391527,LANDSAT/LT5_L1T_8DAY_NDWI/19870728,0.09484170044931664,
1_1_19870805_5,UCDSNM014503,0.005298729285884224,-0.006971536048998435,LANDSAT/LT5_L1T_8DAY_NDWI/19870805,0.0787218089374808,
1_1_19870821_5,UCDSNM014503,-0.015627829053707326,-0.020202433158244406,LANDSAT/LT5_L1T_8DAY_NDWI/19870821,0.0703354201236346,
1_1_19870922_5,UCDSNM014503,-0.08703917467201532,-0.09303032457828522,LANDSAT/LT5_L1T_8DAY_NDWI/19870922,0.05682706669002361,
1_1_19871008_5,UCDSNM014503,-0.08420161980544748,-0.09180207753723318,LANDSAT/LT5_L1T_8DAY_NDWI/19871008,0.05691183228011272,
1_1_19880313_5,UCDSNM014503,0.9319748690557204,0.9366124510765076,LANDSAT/LT5_L1T_8DAY_NDWI/19880313,0.024716228048215255,
1_1_19880329_5,UCDSNM014503,0.8961645670278391,0.9239427705605825,LANDSAT/LT5_L1T_8DAY_NDWI/19880329,0.0802608654643918,
1_1_19880516_5,UCDSNM014503,0.048414954155227764,0.03526237607002258,LANDSAT/LT5_L1T_8DAY_NDWI/19880516,0.09234333637572417,
1_1_19880617_5,UCDSNM014503,0.13905854962306363,0.11981305778026581,LANDSAT/LT5_L1T_8DAY_NDWI/19880617,0.14316799459450505,
1_1_19880703_5,UCDSNM014503,0.13991018336169905,0.12300272434949874,LANDSAT/LT5_L1T_8DAY_NDWI/19880703,0.11736639899679933,
1_1_19880719_5,UCDSNM014503,0.11744789612782143,0.11442906906207402,LANDSAT/LT5_L1T_8DAY_NDWI/19880719,0.04593116325584706,
1_1_19880820_5,UCDSNM014503,-0.006503764217985367,-0.014123598838018047,LANDSAT/LT5_L1T_8DAY_NDWI/19880820,0.07487306901584004,
1_1_19880905_5,UCDSNM014503,-0.04214915403409407,-0.04777223670056888,LANDSAT/LT5_L1T_8DAY_NDWI/19880905,0.06441301538221329,
1_1_19880921_5,UCDSNM014503,-0.018074266855760655,-0.02063182116869618,LANDSAT/LT5_L1T_8DAY_NDWI/19880921,0.048721178446424665,
1_1_19881007_5,UCDSNM014503,0.10578832458308403,0.10761340707540512,LANDSAT/LT5_L1T_8DAY_NDWI/19881007,0.026098539451358576,
1_1_19881023_5,UCDSNM014503,-0.0859722226507542,-0.0916302972718289,LANDSAT/LT5_L1T_8DAY_NDWI/19881023,0.05865966893383428,
1_1_19881108_5,UCDSNM014503,0.7082700647514609,0.7156691659580577,LANDSAT/LT5_L1T_8DAY_NDWI/19881108,0.04721522903658616,
1_1_19881124_5,UCDSNM014503,0.7771961323527811,0.7744957752087537,LANDSAT/LT5_L1T_8DAY_NDWI/19881124,0.018615598857751173,
1_1_19881210_5,UCDSNM014503,0.8671214268101484,0.8796605196866122,LANDSAT/LT5_L1T_8DAY_NDWI/19881210,0.041893241129823754,
1_1_19890117_5,UCDSNM014503,0.807730550692206,0.8072510990831587,LANDSAT/LT5_L1T_8DAY_NDWI/19890117,0.02982530615675523,
1_1_19890202_5,UCDSNM014503,0.28020972993433824,0.2573812007904053,LANDSAT/LT5_L1T_8DAY_NDWI/19890202,0.08625441563538791,
1_1_19890306_5,UCDSNM014503,0.3385213056085649,0.31469794114430744,LANDSAT/LT5_L1T_8DAY_NDWI/19890306,0.11124286032566097,
1_1_19890322_5,UCDSNM014503,0.9578514239774221,0.9603332868128112,LANDSAT/LT5_L1T_8DAY_NDWI/19890322,0.01729496851433397,
1_1_19890407_5,UCDSNM014503,0.9185307710728747,0.9213950584332148,LANDSAT/LT5_L1T_8DAY_NDWI/19890407,0.017334629067676303,
1_1_19890525_5,UCDSNM014503,-0.05336401251309535,-0.10532629821035597,LANDSAT/LT5_L1T_8DAY_NDWI/19890525,0.20567015292473462,
1_1_19890610_5,UCDSNM014503,0.043710670477003166,0.02472442085854709,LANDSAT/LT5_L1T_8DAY_NDWI/19890610,0.18156999845301489,
1_1_19890728_5,UCDSNM014503,0.14314656004508822,0.13072241842746735,LANDSAT/LT5_L1T_8DAY_NDWI/19890728,0.14054431966105227,
1_1_19890813_5,UCDSNM014503,0.09383311588296046,0.06838383078575135,LANDSAT/LT5_L1T_8DAY_NDWI/19890813,0.12219673778967145,
1_1_19890829_5,UCDSNM014503,0.04647086798150373,0.03321592770516872,LANDSAT/LT5_L1T_8DAY_NDWI/19890829,0.10658363041853158,
1_1_19890930_5,UCDSNM014503,0.03231003270541223,0.026624676461021107,LANDSAT/LT5_L1T_8DAY_NDWI/19890930,0.05961734503985745,
1_1_19891016_5,UCDSNM014503,-0.02695802957267294,-0.04470963031053543,LANDSAT/LT5_L1T_8DAY_NDWI/19891016,0.07953254500502982,
1_1_19891117_5,UCDSNM014503,0.3887337012382177,0.36414459347724915,LANDSAT/LT5_L1T_8DAY_NDWI/19891117,0.2842916229933994,
1_1_19891203_5,UCDSNM014503,0.8502888392433668,0.848194936911265,LANDSAT/LT5_L1T_8DAY_NDWI/19891203,0.019142020469749155,
1_1_19900101_5,UCDSNM014503,0.5852431295227036,0.5861391888724433,LANDSAT/LT5_L1T_8DAY_NDWI/19900101,0.015829511566849013,
1_1_19900202_5,UCDSNM014503,0.30628146061122535,0.2802772115577351,LANDSAT/LT5_L1T_8DAY_NDWI/19900202,0.08936058207522206,
1_1_19900218_5,UCDSNM014503,0.7777645055283892,0.7739154160022735,LANDSAT/LT5_L1T_8DAY_NDWI/19900218,0.02084363960054798,
1_1_19900306_5,UCDSNM014503,0.8240851090078889,0.8259332946368626,LANDSAT/LT5_L1T_8DAY_NDWI/19900306,0.017729483236777206,
1_1_19900322_5,UCDSNM014503,0.9542231949431753,0.9584468483924866,LANDSAT/LT5_L1T_8DAY_NDWI/19900322,0.02006403040167101,
1_1_19900407_5,UCDSNM014503,0.8720405414210528,0.8837885137262016,LANDSAT/LT5_L1T_8DAY_NDWI/19900407,0.03799223633891084,
1_1_19900423_5,UCDSNM014503,0.5558180374812112,0.5757415533065796,LANDSAT/LT5_L1T_8DAY_NDWI/19900423,0.18041974814924994,
1_1_19900509_5,UCDSNM014503,-0.051852024248537715,-0.08920528281193513,LANDSAT/LT5_L1T_8DAY_NDWI/19900509,0.16870388459318006,
1_1_19900610_5,UCDSNM014503,0.13017473286921852,0.11928024794906378,LANDSAT/LT5_L1T_8DAY_NDWI/19900610,0.13865960086927143,
1_1_19900813_5,UCDSNM014503,0.05996345313165942,0.0437351701160272,LANDSAT/LT5_L1T_8DAY_NDWI/19900813,0.0930590062416995,
1_1_19900829_5,UCDSNM014503,-9.367565952720593E-4,-0.005111511563882232,LANDSAT/LT5_L1T_8DAY_NDWI/19900829,0.07077447374150524,
1_1_19900914_5,UCDSNM014503,-0.03756301413520219,-0.04073403374506877,LANDSAT/LT5_L1T_8DAY_NDWI/19900914,0.06169623532089639,
1_1_19900930_5,UCDSNM014503,-0.07532691049249482,-0.07901211604475974,LANDSAT/LT5_L1T_8DAY_NDWI/19900930,0.06269689027211578,
1_1_19901016_5,UCDSNM014503,0.22549844433047325,0.16251475115617117,LANDSAT/LT5_L1T_8DAY_NDWI/19901016,0.1446232592371343,
1_1_19910407_5,UCDSNM014503,0.9374526325231364,0.941820049827749,LANDSAT/LT5_L1T_8DAY_NDWI/19910407,0.017249859525503793,
1_1_19910423_5,UCDSNM014503,0.9449759764413077,0.953618660569191,LANDSAT/LT5_L1T_8DAY_NDWI/19910423,0.024346776185950582,
