system:index,image_date,mean,median,source,std,variance,.geo
1_1_19840313,447984000000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840313,{NDWI=null},{NDWI=null},
1_1_19840321,448675200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840321,{NDWI=null},{NDWI=null},
1_1_19840406,450057600000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840406,{NDWI=null},{NDWI=null},
1_1_19840414,450748800000,{NDWI=0.32705007099794525},{NDWI=0.3332417776187261},LANDSAT/LT5_L1T_8DAY_NDWI/19840414,{NDWI=0.06397715349002178},{NDWI=0.004093076168685806},
1_1_19840422,451440000000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840422,{NDWI=null},{NDWI=null},
1_1_19840430,452131200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840430,{NDWI=null},{NDWI=null},
1_1_19840508,452822400000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840508,{NDWI=null},{NDWI=null},
1_1_19840516,453513600000,{NDWI=0.34111564865046234},{NDWI=0.34674046295029776},LANDSAT/LT5_L1T_8DAY_NDWI/19840516,{NDWI=0.07748139782054479},{NDWI=0.0060033670082255235},
1_1_19840524,454204800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840524,{NDWI=null},{NDWI=null},
1_1_19840601,454896000000,{NDWI=0.3444946574501277},{NDWI=0.3467160470428921},LANDSAT/LT5_L1T_8DAY_NDWI/19840601,{NDWI=0.035895967361769233},{NDWI=0.0012885204728372021},
1_1_19840609,455587200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840609,{NDWI=null},{NDWI=null},
1_1_19840617,456278400000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840617,{NDWI=null},{NDWI=null},
1_1_19840625,456969600000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840625,{NDWI=null},{NDWI=null},
1_1_19840703,457660800000,{NDWI=0.22741482721942213},{NDWI=0.24368016123771669},LANDSAT/LT5_L1T_8DAY_NDWI/19840703,{NDWI=0.10030866330964186},{NDWI=0.01006182793496709},
1_1_19840711,458352000000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840711,{NDWI=null},{NDWI=null},
1_1_19840719,459043200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840719,{NDWI=null},{NDWI=null},
1_1_19840727,459734400000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840727,{NDWI=null},{NDWI=null},
1_1_19840804,460425600000,{NDWI=0.023796196893157366},{NDWI=0.014305422893695293},LANDSAT/LT5_L1T_8DAY_NDWI/19840804,{NDWI=0.10421124743025917},{NDWI=0.010859984090970698},
1_1_19840812,461116800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840812,{NDWI=null},{NDWI=null},
1_1_19840820,461808000000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840820,{NDWI=null},{NDWI=null},
1_1_19840828,462499200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840828,{NDWI=null},{NDWI=null},
1_1_19840905,463190400000,{NDWI=-0.05550240586315924},{NDWI=-0.08020000663158056},LANDSAT/LT5_L1T_8DAY_NDWI/19840905,{NDWI=0.09519798753381302},{NDWI=0.00906265683048802},
1_1_19840913,463881600000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840913,{NDWI=null},{NDWI=null},
1_1_19840921,464572800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840921,{NDWI=null},{NDWI=null},
1_1_19840929,465264000000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19840929,{NDWI=null},{NDWI=null},
1_1_19841007,465955200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19841007,{NDWI=null},{NDWI=null},
1_1_19841015,466646400000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19841015,{NDWI=null},{NDWI=null},
1_1_19841023,467337600000,{NDWI=0.08785542173553296},{NDWI=0.08390924190321276},LANDSAT/LT5_L1T_8DAY_NDWI/19841023,{NDWI=0.10271749638733588},{NDWI=0.01055088406408236},
1_1_19841031,468028800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19841031,{NDWI=null},{NDWI=null},
1_1_19841108,468720000000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19841108,{NDWI=null},{NDWI=null},
1_1_19841116,469411200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19841116,{NDWI=null},{NDWI=null},
1_1_19841124,470102400000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19841124,{NDWI=null},{NDWI=null},
1_1_19841202,470793600000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19841202,{NDWI=null},{NDWI=null},
1_1_19841210,471484800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19841210,{NDWI=null},{NDWI=null},
1_1_19841218,472176000000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19841218,{NDWI=null},{NDWI=null},
1_1_19841226,472867200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19841226,{NDWI=null},{NDWI=null},
1_1_19850101,473385600000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850101,{NDWI=null},{NDWI=null},
1_1_19850109,474076800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850109,{NDWI=null},{NDWI=null},
1_1_19850117,474768000000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850117,{NDWI=null},{NDWI=null},
1_1_19850125,475459200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850125,{NDWI=null},{NDWI=null},
1_1_19850202,476150400000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850202,{NDWI=null},{NDWI=null},
1_1_19850210,476841600000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850210,{NDWI=null},{NDWI=null},
1_1_19850218,477532800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850218,{NDWI=null},{NDWI=null},
1_1_19850226,478224000000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850226,{NDWI=null},{NDWI=null},
1_1_19850306,478915200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850306,{NDWI=null},{NDWI=null},
1_1_19850314,479606400000,{NDWI=0.10191968559672879},{NDWI=0.09070816414896399},LANDSAT/LT5_L1T_8DAY_NDWI/19850314,{NDWI=0.041125774654822415},{NDWI=0.001691329340959234},
1_1_19850322,480297600000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850322,{NDWI=null},{NDWI=null},
1_1_19850330,480988800000,{NDWI=0.9066472969434809},{NDWI=0.9318345305639938},LANDSAT/LT5_L1T_8DAY_NDWI/19850330,{NDWI=0.06977758519361342},{NDWI=0.004868911395451979},
1_1_19850407,481680000000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850407,{NDWI=null},{NDWI=null},
1_1_19850415,482371200000,{NDWI=0.26518221352968546},{NDWI=0.2403145417571068},LANDSAT/LT5_L1T_8DAY_NDWI/19850415,{NDWI=0.12928605320562514},{NDWI=0.016714883553487738},
1_1_19850423,483062400000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850423,{NDWI=null},{NDWI=null},
1_1_19850501,483753600000,{NDWI=0.2684196874334951},{NDWI=0.2717176204727542},LANDSAT/LT5_L1T_8DAY_NDWI/19850501,{NDWI=0.11901532614390292},{NDWI=0.014164647857139584},
1_1_19850509,484444800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850509,{NDWI=null},{NDWI=null},
1_1_19850517,485136000000,{NDWI=0.324123468448418},{NDWI=0.3259332073586328},LANDSAT/LT5_L1T_8DAY_NDWI/19850517,{NDWI=0.1114524823095623},{NDWI=0.012421655812963298},
1_1_19850525,485827200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850525,{NDWI=null},{NDWI=null},
1_1_19850602,486518400000,{NDWI=0.2926227647212201},{NDWI=0.29920494556427},LANDSAT/LT5_L1T_8DAY_NDWI/19850602,{NDWI=0.12368241816187282},{NDWI=0.015297340562368367},
1_1_19850610,487209600000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850610,{NDWI=null},{NDWI=null},
1_1_19850618,487900800000,{NDWI=0.21819206274757677},{NDWI=0.22391863805907114},LANDSAT/LT5_L1T_8DAY_NDWI/19850618,{NDWI=0.12216738519387911},{NDWI=0.014924870005109631},
1_1_19850626,488592000000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850626,{NDWI=null},{NDWI=null},
1_1_19850704,489283200000,{NDWI=0.07429589211246443},{NDWI=0.06469702485360597},LANDSAT/LT5_L1T_8DAY_NDWI/19850704,{NDWI=0.11990319996071742},{NDWI=0.014376777360819788},
1_1_19850712,489974400000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850712,{NDWI=null},{NDWI=null},
1_1_19850720,490665600000,{NDWI=0.0058272160109146855},{NDWI=-0.013648090795392082},LANDSAT/LT5_L1T_8DAY_NDWI/19850720,{NDWI=0.10585160798208083},{NDWI=0.01120456291239212},
1_1_19850728,491356800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850728,{NDWI=null},{NDWI=null},
1_1_19850805,492048000000,{NDWI=-0.06858060835404216},{NDWI=-0.09559553991193356},LANDSAT/LT5_L1T_8DAY_NDWI/19850805,{NDWI=0.10536585371360428},{NDWI=0.011101963128796659},
1_1_19850813,492739200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_8DAY_NDWI/19850813,{NDWI=null},{NDWI=null},
1_1_19850821,493430400000,{NDWI=-0.08385139720853382},{NDWI=-0.11165112985864929},LANDSAT/LT5_L1T_8DAY_NDWI/19850821,{NDWI=0.09635391411454604},{NDWI=0.009284076765193314},
